age,num_ooids,all_carbonate,carb_no_ooids,all_sediment,sed_no_ooids,all_dolomite,dol_no_ooids
272,11.0,23.0,14.0,70.0,62.0,8.0,5.0
273,13.0,29.0,20.0,86.0,76.0,9.0,6.0
274,14.0,30.0,20.0,86.0,75.0,8.0,5.0
275,17.0,33.0,21.0,102.0,88.0,9.0,5.0
276,18.0,27.0,16.0,98.0,84.0,7.0,4.0
277,17.0,27.0,16.0,95.0,82.0,7.0,4.0
278,17.0,28.0,17.0,97.0,84.0,7.0,4.0
279,20.0,36.0,23.0,114.0,98.0,9.0,5.0
280,18.0,32.0,21.0,105.0,91.0,10.0,6.0
281,16.0,28.0,19.0,93.0,81.0,9.0,5.0
282,16.0,30.0,21.0,104.0,92.0,10.0,6.0
283,15.0,28.0,19.0,94.0,83.0,8.0,4.0
284,15.0,32.0,23.0,101.0,90.0,11.0,7.0
285,15.0,32.0,23.0,98.0,87.0,11.0,7.0
286,16.0,35.0,25.0,114.0,102.0,12.0,6.0
287,15.0,27.0,18.0,96.0,85.0,8.0,3.0
288,15.0,26.0,17.0,100.0,89.0,10.0,5.0
289,13.0,22.0,15.0,96.0,87.0,9.0,5.0
290,14.0,26.0,18.0,100.0,90.0,9.0,5.0
291,14.0,26.0,18.0,100.0,90.0,9.0,5.0
292,14.0,27.0,19.0,102.0,94.0,9.0,5.0
293,14.0,29.0,21.0,110.0,102.0,11.0,7.0
294,14.0,30.0,22.0,120.0,112.0,10.0,6.0
295,13.0,28.0,21.0,107.0,100.0,9.0,6.0
296,13.0,28.0,21.0,107.0,100.0,9.0,6.0
297,13.0,29.0,22.0,100.0,93.0,9.0,6.0
298,21.0,32.0,22.0,118.0,103.0,7.0,4.0
299,19.0,31.0,22.0,106.0,91.0,6.0,3.0
300,22.0,32.0,22.0,118.0,100.0,6.0,3.0
301,22.0,30.0,20.0,107.0,88.0,5.0,2.0
302,22.0,30.0,20.0,123.0,104.0,5.0,2.0
303,25.0,32.0,21.0,126.0,105.0,5.0,2.0
304,27.0,38.0,24.0,144.0,121.0,5.0,2.0
305,27.0,34.0,22.0,137.0,114.0,5.0,2.0
306,27.0,37.0,24.0,140.0,116.0,5.0,2.0
307,25.0,35.0,22.0,134.0,113.0,4.0,1.0
308,25.0,31.0,18.0,121.0,100.0,4.0,1.0
309,25.0,32.0,19.0,126.0,105.0,4.0,1.0
310,25.0,37.0,24.0,142.0,121.0,5.0,2.0
311,25.0,37.0,24.0,131.0,110.0,5.0,2.0
312,24.0,34.0,22.0,138.0,117.0,5.0,2.0
313,26.0,32.0,19.0,127.0,105.0,5.0,2.0
314,23.0,31.0,18.0,111.0,92.0,5.0,2.0
315,23.0,31.0,18.0,111.0,92.0,5.0,2.0
316,23.0,31.0,18.0,113.0,94.0,5.0,2.0
317,23.0,33.0,20.0,124.0,105.0,4.0,1.0
318,22.0,31.0,18.0,112.0,94.0,4.0,1.0
319,26.0,36.0,23.0,142.0,120.0,4.0,1.0
320,26.0,31.0,19.0,131.0,109.0,4.0,1.0
321,25.0,30.0,18.0,115.0,94.0,4.0,1.0
322,29.0,39.0,24.0,130.0,105.0,5.0,1.0
323,28.0,38.0,24.0,119.0,94.0,6.0,1.0
324,23.0,33.0,20.0,103.0,83.0,6.0,1.0
325,23.0,33.0,20.0,111.0,91.0,6.0,1.0
326,30.0,39.0,24.0,125.0,98.0,6.0,1.0
327,30.0,39.0,24.0,114.0,87.0,6.0,1.0
328,27.0,38.0,23.0,106.0,82.0,6.0,1.0
329,29.0,37.0,22.0,106.0,79.0,6.0,1.0
330,30.0,43.0,27.0,125.0,96.0,7.0,1.0
331,31.0,43.0,26.0,122.0,95.0,7.0,1.0
332,42.0,49.0,26.0,145.0,105.0,7.0,1.0
333,40.0,49.0,27.0,131.0,93.0,7.0,1.0
334,38.0,46.0,25.0,114.0,80.0,6.0,1.0
335,43.0,54.0,28.0,124.0,83.0,9.0,3.0
336,38.0,60.0,34.0,126.0,87.0,13.0,7.0
337,43.0,71.0,39.0,145.0,101.0,17.0,9.0
338,35.0,59.0,29.0,121.0,85.0,16.0,8.0
339,35.0,59.0,29.0,119.0,82.0,16.0,8.0
340,39.0,63.0,30.0,128.0,87.0,17.0,8.0
341,42.0,69.0,36.0,141.0,99.0,19.0,9.0
342,37.0,64.0,34.0,134.0,98.0,21.0,10.0
343,39.0,70.0,38.0,145.0,108.0,19.0,9.0
344,36.0,64.0,33.0,129.0,95.0,17.0,7.0
345,37.0,68.0,35.0,136.0,101.0,15.0,6.0
346,33.0,63.0,33.0,122.0,92.0,11.0,4.0
347,30.0,59.0,32.0,119.0,93.0,8.0,3.0
348,30.0,60.0,33.0,122.0,96.0,8.0,3.0
349,31.0,65.0,37.0,145.0,118.0,11.0,5.0
350,26.0,53.0,28.0,119.0,97.0,8.0,3.0
351,28.0,56.0,30.0,128.0,104.0,9.0,4.0
352,25.0,48.0,25.0,122.0,101.0,8.0,4.0
353,26.0,51.0,30.0,141.0,119.0,8.0,5.0
